shapeid,x,y,address
400,-73.7478072308,40.7459099897,68-023 CLOVERDALE LANE
401,-73.8449666321,40.7146762868,61 GREENWAY SOUTH
402,-73.7377646567,40.7699334186,7 CORNELL LANE
403,-73.9659201952,40.580127277,38 BRIGHTON 2 PLACE
404,-73.9648167853,40.5797288316,24 BRIGHTON 3 LANE
405,-73.7460289876,40.7718239604,24 38 DRIVE
406,-73.7479318282,40.7774386393,336 BEVERLY ROAD
407,-73.8384720631,40.7113049819,245 GREENWAY NORTH
408,-73.8425275275,40.7148664394,116 ASCAN AVENUE
409,-73.8316088475,40.7116796891,123 81 AVENUE
410,-73.8279007349,40.7963136874,1-020 POWELLS COVE DRIVE
411,-73.8161849159,40.6075148879,2503 WEST ROAD
412,-73.838586379,40.7134126921,166 GREENWAY NORTH
413,-73.7489590845,40.7775611803,319 BEVERLY ROAD
414,-73.7498861437,40.7739092399,211 RIDGE ROAD
415,-73.8450708869,40.718016836,9 ARCHWAY PLACE
416,-73.8422935775,40.7125803507,54 INGRAM STREET
417,-73.7522039611,40.7780033911,113 GROSVENOR STREET
418,-73.8457676802,40.7181553777,34 71 AVENUE
419,-73.8481799281,40.7162639808,18 GROTON STREET
420,-73.8782376639,40.705421692,2951 CENTRAL AVENUE
421,-73.9060652942,40.7007330741,5614 PUTNAM AVENUE
422,-73.9462702354,40.7660634113,40 RIVER ROAD
423,-73.7402734475,40.5996890187,542 MEEHAN AVENUE
424,-73.797690878,40.70992775,12 CLINTON TERRACE
425,-73.8071326706,40.8221409372,11 HARDING AVENUE
426,-73.8671338812,40.6616854375,184 OLD MILL ROAD
427,-73.843093461,40.7170021139,86 GREENWAY TERRACE
428,-73.8659441061,40.6823012614,361 ELDERT LANE
429,-73.8851178035,40.7037952909,2759 CENTRAL AVENUE
430,-73.8293789492,40.8428688039,2996 MERRY AVENUE
431,-73.7442355165,40.6579736666,240-018 146 AVENUE
432,-73.8333175829,40.7102347596,153 ONSLOW PLACE
433,-73.7474323094,40.7749718574,311 PARK LANE
434,-73.8384310502,40.7157784601,254 BURNS STREET
435,-73.75380128,40.7793673409,706 SHORE ROAD
436,-73.7513419497,40.7822193226,1120 SHORE ROAD
437,-73.9629437552,40.6350717027,42 NEWKIRK PLAZA
438,-73.8623374669,40.6785060089,105-20 RUBY STREET
439,-73.8303915329,40.5804971843,10 BETTY COURT
440,-73.8292113557,40.7107727349,108 82 DRIVE
441,-73.7277221749,40.6594173169,257-002 HOOK CREEK BOULEVARD
442,-73.9723527664,40.593909714,94 VILLAGE ROAD SOUTH
443,-73.8464110183,40.7863728056,3 BEECH COURT CIRCLE
444,-73.8413890426,40.7136760635,36 SUMMER STREET
445,-73.8444414994,40.7172026534,65 GREENWAY TERRACE
446,-73.7455108298,40.7701442094,113 DEPEW AVENUE
447,-73.8839775905,40.7040910438,2789 CENTRAL AVENUE
448,-73.8406748329,40.715717403,62 GREENWAY NORTH
449,-73.9656730369,40.5796840275,56 BRIGHTON 2 PATH
450,-73.9660542818,40.577273786,46 BRIGHTON 1 LANE
451,-73.9075635936,40.6441316978,2 ROSE STREET
452,-73.7482030184,40.7776603613,339 BEVERLY ROAD
453,-73.7821661404,40.7349957398,188-045 71 CRESCENT
454,-73.7467219907,40.7762137736,356 HOLLYWOOD AVENUE
455,-73.7478274899,40.7734736923,259 FOREST ROAD
456,-73.8443807814,40.7126632834,203 ASCAN AVENUE
457,-73.7318794952,40.7465286793,241-051 OAK PARK DRIVE
458,-73.8354103435,40.7131013406,400 BURNS STREET
459,-73.8406715192,40.7168782134,35 BORAGE PLACE
460,-73.7518263192,40.7715372978,226 BAY STREET
461,-73.7487795187,40.771899451,32 HILLCREST AVENUE
462,-73.9576845439,40.5817479892,61 BRIGHTON 10 COURT
463,-73.9581947489,40.5817376782,51 HOLT COURT
464,-73.9635843182,40.5795174946,9 BRIGHTON 4 PLACE
465,-73.8293597434,40.7106913914,110 82 DRIVE
466,-73.728906554,40.7692385831,3 OAKLEY PLACE
467,-73.9129001181,40.5636475162,754 LIBERTY LANE
468,-73.7462202172,40.7714310135,321 CHERRY STREET
469,-73.8367765083,40.7143996279,330 BURNS STREET
