shapeid,x,y,address
385,-73.8018888305,40.7714219585,162-012 bayside lane
386,-73.8367187617,40.71284757,45 deepdene road
387,-73.9174517701,40.7778456799,131 23rd avenue
388,-73.9170190161,40.7244030861,3-000 null
389,-73.8422005531,40.7125337049,56 ingram street
390,-73.7477652398,40.7767684629,328 manor road
391,-73.8358586783,40.7083384014,136 audley street
392,-73.8429016419,40.7150292502,115 ascan avenue
393,-73.9279564366,40.8128507726,11 canal place
394,-73.8325431699,40.6563861245,16 bayview avenue
395,-73.8156361776,40.8402494797,3391-05 country club road
396,-73.7508866787,40.7734275411,30 ridge road
397,-73.8130841968,40.7581852206,217 cherry avenue
398,-73.9042132979,40.7025516858,5804 putnam avenue
399,-73.842747609,40.7127621801,38 ingram street
400,-73.7478072308,40.7459099897,68-023 cloverdale lane
401,-73.8449666321,40.7146762868,61 greenway south
402,-73.7377646567,40.7699334186,7 cornell lane
403,-73.9659201952,40.580127277,38 brighton 2nd place
404,-73.9648167853,40.5797288316,24 brighton 3rd lane
405,-73.7460289876,40.7718239604,24 38th drive
406,-73.7479318282,40.7774386393,336 beverly road
407,-73.8384720631,40.7113049819,245 greenway north
408,-73.8425275275,40.7148664394,116 ascan avenue
409,-73.8316088475,40.7116796891,123 81st avenue
410,-73.8279007349,40.7963136874,1-020 powells cove drive
411,-73.8161849159,40.6075148879,2503 west road
412,-73.838586379,40.7134126921,166 greenway north
413,-73.7489590845,40.7775611803,319 beverly road
414,-73.7498861437,40.7739092399,211 ridge road
415,-73.8450708869,40.718016836,9 archway place
416,-73.8422935775,40.7125803507,54 ingram street
417,-73.7522039611,40.7780033911,113 grosvenor street
418,-73.8457676802,40.7181553777,34 71st avenue
419,-73.8481799281,40.7162639808,18 groton street
420,-73.8782376639,40.705421692,2951 central avenue
421,-73.9060652942,40.7007330741,5614 putnam avenue
422,-73.9462702354,40.7660634113,40 river road
423,-73.7402734475,40.5996890187,542 meehan avenue
424,-73.797690878,40.70992775,12 clinton terrace
425,-73.8071326706,40.8221409372,11 harding avenue
426,-73.8671338812,40.6616854375,184 old mill road
427,-73.843093461,40.7170021139,86 greenway terrace
428,-73.8659441061,40.6823012614,361 eldert lane
429,-73.8851178035,40.7037952909,2759 central avenue
430,-73.8293789492,40.8428688039,2996 merry avenue
431,-73.7442355165,40.6579736666,240-018 146th avenue
432,-73.8333175829,40.7102347596,153 onslow place
433,-73.7474323094,40.7749718574,311 park lane
434,-73.8384310502,40.7157784601,254 burns street
435,-73.75380128,40.7793673409,706 shore road
436,-73.7513419497,40.7822193226,1120 shore road
437,-73.9629437552,40.6350717027,42 newkirk plaza
438,-73.8623374669,40.6785060089,105-20 ruby street
439,-73.8303915329,40.5804971843,10 betty court
440,-73.8292113557,40.7107727349,108 82nd drive
441,-73.7277221749,40.6594173169,257-002 hook creek boulevard
442,-73.9723527664,40.593909714,94 village road south
443,-73.8464110183,40.7863728056,3 beech court circle
444,-73.8413890426,40.7136760635,36 summer street
445,-73.8444414994,40.7172026534,65 greenway terrace
446,-73.7455108298,40.7701442094,113 depew avenue
447,-73.8839775905,40.7040910438,2789 central avenue
448,-73.8406748329,40.715717403,62 greenway north
449,-73.9656730369,40.5796840275,56 brighton 2nd path
450,-73.9660542818,40.577273786,46 brighton 1st lane
451,-73.9075635936,40.6441316978,2 rose street
452,-73.7482030184,40.7776603613,339 beverly road
453,-73.7821661404,40.7349957398,188-045 71st crescent
454,-73.7467219907,40.7762137736,356 hollywood avenue
455,-73.7478274899,40.7734736923,259 forest road
456,-73.8443807814,40.7126632834,203 ascan avenue
457,-73.7318794952,40.7465286793,241-051 oak park drive
458,-73.8354103435,40.7131013406,400 burns street
459,-73.8406715192,40.7168782134,35 borage place
460,-73.7518263192,40.7715372978,226 bay street
461,-73.7487795187,40.771899451,32 hillcrest avenue
462,-73.9576845439,40.5817479892,61 brighton 10th court
463,-73.9581947489,40.5817376782,51 holt court
464,-73.9635843182,40.5795174946,9 brighton 4th place
465,-73.8293597434,40.7106913914,110 82nd drive
466,-73.728906554,40.7692385831,3 oakley place
467,-73.9129001181,40.5636475162,754 liberty lane
468,-73.7462202172,40.7714310135,321 cherry street
469,-73.8367765083,40.7143996279,330 burns street
470,-73.8470746811,40.7865619524,12 beech court circle
471,-73.7477247008,40.7459160802,68-021 cloverdale lane
472,-73.8003444015,40.7107142784,86-012 164th street
473,-73.8435276034,40.7149048607,57 russell place
474,-73.7456892395,40.7719020271,34 38th drive
475,-73.8415903768,40.715324768,24 seasongood road
476,-73.7879431633,40.7869684291,13-036 lori drive
477,-73.8432484363,40.7144690732,133 ascan avenue
478,-73.7517907272,40.7793759046,111 richmond road
479,-73.8287037102,40.7111050918,102 82nd drive
480,-73.7485504466,40.7730160426,234 forest road
481,-73.8395670154,40.7165954125,192 burns street
482,-73.746108161,40.6632376973,231-003 lansing avenue
483,-73.8372407807,40.7148091598,304 burns street
484,-73.8461081209,40.7151446843,87 groton street
486,-73.7477252371,40.7781846669,366 grosvenor street
487,-73.7498971863,40.6032198257,16 scott a gadell place
488,-73.7500370741,40.780214154,343 knollwood avenue
489,-73.903669718,40.7075246591,677 grandview avenue
490,-73.8300462785,40.5809477332,6 curtis court
491,-73.840703969,40.7151049792,83 greenway north
492,-73.8432566403,40.7171738165,78 greenway terrace
493,-73.8477696471,40.7169423603,40 fleet street
494,-73.8476774523,40.7165863665,31 fleet street
495,-73.7406311002,40.7534617388,63-073 douglaston parkway
496,-73.9660171732,40.5796798212,34 brighton 2nd place
497,-73.8272607962,40.7934163621,89 malba drive
498,-73.7523027759,40.7724862454,3 melrose lane
499,-73.8258653333,40.7909130654,15 9th avenue
500,-73.8633477991,40.679955526,459 drew street
501,-73.8398841058,40.7127345847,56 shorthill road
502,-73.8565855052,40.8071217876,1015 cornell avenue
503,-73.8409014604,40.6950530067,185 88th avenue
504,-73.841857947,40.7133815788,61 summer street
505,-73.7513675857,40.7723652853,24 west drive
506,-73.8399082393,40.7155874349,36 beechknoll road
507,-73.7492030801,40.7758266235,248 hollywood avenue
508,-73.7533460606,40.7771719679,18 beverly road
509,-73.7511014941,40.7733742467,20 ridge road
510,-73.7402411225,40.7534937175,63-067 douglaston parkway
511,-73.9750877048,40.6153324616,1229 dahill road
512,-73.83670691,40.7119917795,45 markwood place
513,-73.7319054578,40.7465506593,241-051 oak park drive
514,-73.740339343,40.5996477348,544 meehan avenue
515,-73.8427729553,40.7100097599,264 75th road
516,-73.8491652341,40.8140069146,307 torry avenue
517,-73.8571713061,40.8093590737,1617 underhill avenue
518,-73.8362378078,40.7133998041,732 burns street
519,-73.7476703491,40.7460037754,68-017 cloverdale lane
520,-73.8407228156,40.7169553695,149 burns street
521,-73.8420190089,40.7132035531,166 greenway south
522,-73.8572281872,40.8095575835,1614 underhill avenue
523,-73.8570309939,40.8087338049,1623 underhill avenue
524,-73.91333495,40.5636371733,714 liberty lane
525,-73.9166067623,40.7772488447,157 23rd avenue
526,-73.7473459899,40.7460925924,68-005 cloverdale lane
527,-73.867497643,40.7034985102,47-062 81st street
528,-73.748337749,40.7459413728,68-035 cloverdale lane
529,-73.8768534815,40.7052827807,72-008 73rd place
530,-73.8427624951,40.7131734679,141 greenway south
531,-73.8361710927,40.7120870285,52 markwood place
532,-73.8913662909,40.5672737489,246 roxbury avenue
533,-73.8000602562,40.7826611418,163-057 willets point boulevard
534,-73.7502546325,40.7765788,231 manor road
535,-73.758343086,40.5961860897,287 watjean court
536,-73.7532176438,40.7774248812,17 beverly road
537,-73.8798089924,40.7050550682,2913 central avenue
538,-73.8433291372,40.7134350971,119 greenway south
539,-73.7503884887,40.7773635078,231 beverly road
